full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
Pimzino/claude-code-spec-workflow,3738,3738,265,42,42,6,https://github.com/Pimzino/claude-code-spec-workflow
carlvellotti/claude-code-pm-course,2028,2028,327,104,104,28,https://github.com/carlvellotti/claude-code-pm-course
AICoderTudou/claude-code-tudou,502,502,401,6,6,5,https://github.com/AICoderTudou/claude-code-tudou
andrew-kramer-inno/claude-code-source-build,589,589,523,8,8,6,https://github.com/andrew-kramer-inno/claude-code-source-build
Windy3f3f3f3f/claude-code-from-scratch,1237,1237,369,216,216,28,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
wshobson/agents,35666,35666,3877,1266,1266,152,https://github.com/wshobson/agents
ghuntley/claude-code-source-code-deobfuscation,978,978,553,5,5,-1,https://github.com/ghuntley/claude-code-source-code-deobfuscation
nanocoai/nanoclaw,29056,29056,12830,29056,29056,12830,https://github.com/nanocoai/nanoclaw
feiskyer/claude-code-settings,1515,1515,222,43,43,4,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,1107,1107,242,52,52,-1,https://github.com/sugyan/claude-code-webui
alirezarezvani/claude-skills,15521,15521,2119,2628,2628,416,https://github.com/alirezarezvani/claude-skills
snarktank/ralph,19268,19268,1919,1350,1350,143,https://github.com/snarktank/ralph
router-for-me/CLIProxyAPI,33573,33573,5583,4436,4436,737,https://github.com/router-for-me/CLIProxyAPI
darcyegb/ClaudeCodeAgents,700,700,63,700,700,63,https://github.com/darcyegb/ClaudeCodeAgents
farion1231/cc-switch,75526,75526,4903,22940,22940,1504,https://github.com/farion1231/cc-switch
Hyper66666/claude-code-sourcemap,214,214,458,1,1,-1,https://github.com/Hyper66666/claude-code-sourcemap
anthropics/claude-plugins-official,20102,20102,2502,2092,2092,343,https://github.com/anthropics/claude-plugins-official
KPR111/Claude-Code,17,17,330,17,17,330,https://github.com/KPR111/Claude-Code
centminmod/my-claude-code-setup,2317,2317,220,2317,2317,220,https://github.com/centminmod/my-claude-code-setup
catlog22/Claude-Code-Workflow,2022,2022,161,2022,2022,161,https://github.com/catlog22/Claude-Code-Workflow
lst97/claude-code-sub-agents,1566,1566,253,1566,1566,253,https://github.com/lst97/claude-code-sub-agents
